NAME,Age,Minority,Output,Population
Alabama,"Total, all ages",Total persons,Estimate,4841165
Alabama,"Total, all ages","White alone, not Hispanic/Latino",Estimate,3204335
Alabama,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,642
Alabama,"Total, all ages",Other,Estimate,1636830
Alabama,"Total, all ages",Other,Margin of Error,642
Alabama,Age 0 to 16 years,Total persons,Estimate,976860
Alabama,Age 0 to 16 years,Total persons,Margin of Error,1377
Alabama,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,570015
Alabama,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1114
Alabama,Age 0 to 16 years,Other,Estimate,406845
Alabama,Age 0 to 16 years,Other,Margin of Error,1015
Alabama,Age 16 and 17 years,Total persons,Estimate,128325
Alabama,Age 16 and 17 years,Total persons,Margin of Error,1414
Alabama,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,77725
Alabama,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,1100
Alabama,Age 16 and 17 years,Other,Estimate,50600
Alabama,Age 16 and 17 years,Other,Margin of Error,929
Alabama,Age 18 to 20 years,Total persons,Estimate,205065
Alabama,Age 18 to 20 years,Total persons,Margin of Error,2392
Alabama,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,121245
Alabama,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1941
Alabama,Age 18 to 20 years,Other,Estimate,83815
Alabama,Age 18 to 20 years,Other,Margin of Error,1482
Alabama,Age 21 to 24 years,Total persons,Estimate,269505
Alabama,Age 21 to 24 years,Total persons,Margin of Error,2345
Alabama,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,162155
Alabama,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1931
Alabama,Age 21 to 24 years,Other,Estimate,107350
Alabama,Age 21 to 24 years,Other,Margin of Error,1532
Alabama,Age 25 to 34 years,Total persons,Estimate,626565
Alabama,Age 25 to 34 years,Total persons,Margin of Error,1388
Alabama,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,386515
Alabama,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,354
Alabama,Age 25 to 34 years,Other,Estimate,240050
Alabama,Age 25 to 34 years,Other,Margin of Error,1353
