NAME,MOT,Output,MeanTT
"Alachua County, Florida","Total, means of transportation",Estimate,20.9
"Alachua County, Florida","Total, means of transportation",MOE,0.5
"Alachua County, Florida","Car, truck, or van -- Drove alone",Estimate,20.9
"Alachua County, Florida","Car, truck, or van -- Drove alone",MOE,0.6
"Alachua County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,23
"Alachua County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,1.7
"Alachua County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,24.3
"Alachua County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,3.2
"Alachua County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,25.7
"Alachua County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,4.9
"Alachua County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,20.5
"Alachua County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,6.8
"Alachua County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,30.7
"Alachua County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,11.7
"Alachua County, Florida",Bus or trolley bus,Estimate,28.7
"Alachua County, Florida",Bus or trolley bus,MOE,2
"Alachua County, Florida",Streetcar or trolley car,Estimate,-
"Alachua County, Florida",Streetcar or trolley car,MOE,**
"Alachua County, Florida",Subway or elevated,Estimate,34.7
"Alachua County, Florida",Subway or elevated,MOE,13.8
"Alachua County, Florida",Railroad,Estimate,-
"Alachua County, Florida",Railroad,MOE,**
"Alachua County, Florida",Ferryboat,Estimate,-
"Alachua County, Florida",Ferryboat,MOE,**
"Alachua County, Florida",Bicycle,Estimate,15.9
"Alachua County, Florida",Bicycle,MOE,1.4
"Alachua County, Florida",Walked,Estimate,12.2
"Alachua County, Florida",Walked,MOE,1.4
"Alachua County, Florida",Taxicab,Estimate,73.8
"Alachua County, Florida",Taxicab,MOE,90.8
"Alachua County, Florida",Motorcycle,Estimate,13.5
"Alachua County, Florida",Motorcycle,MOE,2
"Alachua County, Florida",Other method,Estimate,18
"Alachua County, Florida",Other method,MOE,6.6
"Alachua County, Florida",Worked at home,Estimate,0
"Alachua County, Florida",Worked at home,MOE,0
"Baker County, Florida","Total, means of transportation",Estimate,29.9
"Baker County, Florida","Total, means of transportation",MOE,1.8
"Baker County, Florida","Car, truck, or van -- Drove alone",Estimate,29.5
"Baker County, Florida","Car, truck, or van -- Drove alone",MOE,1.7
"Baker County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,32.5
"Baker County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,9.2
"Baker County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,52.9
"Baker County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,28
"Baker County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,96.6
"Baker County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,70.4
